cause,d,executed_code_modular_addition_factor,missing_factor_code_over_paper,n,paper_derivation_modular_addition_factor,paper_reported_implementation_class,q,source_verified_implementation_class
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,162000,7.407407407407407,200,21870,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,162810,7.444444444444445,201,21870,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,163620,7.481481481481482,202,21870,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,170520,7.25,203,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,171360,7.285714285714286,204,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,172200,7.321428571428571,205,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,173040,7.357142857142857,206,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,173880,7.392857142857143,207,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,174720,7.428571428571429,208,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,175560,7.464285714285714,209,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,176400,7.5,210,23520,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,183570,7.275862068965517,211,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,184440,7.310344827586207,212,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,185310,7.344827586206897,213,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,186180,7.379310344827586,214,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,187050,7.413793103448276,215,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,187920,7.448275862068965,216,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,188790,7.482758620689655,217,25230,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,196200,7.266666666666667,218,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,197100,7.3,219,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,198000,7.333333333333333,220,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,198900,7.366666666666666,221,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,199800,7.4,222,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,200700,7.433333333333334,223,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,201600,7.466666666666667,224,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,202500,7.5,225,27000,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,209728,7.793103448275862,226,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,210656,7.827586206896552,227,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,211584,7.862068965517241,228,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,212512,7.896551724137931,229,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,213440,7.931034482758621,230,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,214368,7.9655172413793105,231,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,215296,8.0,232,26912,O(n^(5/2) log n),29,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,223680,7.766666666666667,233,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,224640,7.8,234,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,225600,7.833333333333333,235,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,226560,7.866666666666666,236,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,227520,7.9,237,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,228480,7.933333333333334,238,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,229440,7.966666666666667,239,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,230400,8.0,240,28800,O(n^(5/2) log n),30,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,239072,7.774193548387097,241,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,240064,7.806451612903226,242,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,241056,7.838709677419355,243,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,242048,7.870967741935484,244,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,243040,7.903225806451613,245,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,244032,7.935483870967742,246,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,245024,7.967741935483871,247,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,246016,8.0,248,30752,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,254976,7.78125,249,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,256000,7.8125,250,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,257024,7.84375,251,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,258048,7.875,252,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,259072,7.90625,253,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,260096,7.9375,254,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,261120,7.96875,255,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",16,262144,8.0,256,32768,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,270878,8.290322580645162,257,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,271932,8.32258064516129,258,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,272986,8.35483870967742,259,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,274040,8.387096774193548,260,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,275094,8.419354838709678,261,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,276148,8.451612903225806,262,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,277202,8.483870967741936,263,32674,O(n^(5/2) log n),31,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,287232,8.25,264,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,288320,8.28125,265,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,289408,8.3125,266,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,290496,8.34375,267,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,291584,8.375,268,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,292672,8.40625,269,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,293760,8.4375,270,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,294848,8.46875,271,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,295936,8.5,272,34816,O(n^(5/2) log n),32,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,306306,8.272727272727273,273,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,307428,8.303030303030303,274,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,308550,8.333333333333334,275,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,309672,8.363636363636363,276,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,310794,8.393939393939394,277,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,311916,8.424242424242424,278,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,313038,8.454545454545455,279,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,314160,8.484848484848484,280,37026,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,324836,8.264705882352942,281,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,325992,8.294117647058824,282,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,327148,8.323529411764707,283,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,328304,8.352941176470589,284,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,329460,8.382352941176471,285,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,330616,8.411764705882353,286,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,331772,8.441176470588236,287,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,332928,8.470588235294118,288,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",17,334084,8.5,289,39304,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,344520,8.787878787878787,290,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,345708,8.818181818181818,291,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,346896,8.848484848484848,292,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,348084,8.878787878787879,293,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,349272,8.909090909090908,294,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,350460,8.93939393939394,295,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,351648,8.969696969696969,296,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,352836,9.0,297,39204,O(n^(5/2) log n),33,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,364752,8.764705882352942,298,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,365976,8.794117647058824,299,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,367200,8.823529411764707,300,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,368424,8.852941176470589,301,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,369648,8.882352941176471,302,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,370872,8.911764705882353,303,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,372096,8.941176470588236,304,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,373320,8.970588235294118,305,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,374544,9.0,306,41616,O(n^(5/2) log n),34,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,386820,8.771428571428572,307,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,388080,8.8,308,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,389340,8.82857142857143,309,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,390600,8.857142857142858,310,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,391860,8.885714285714286,311,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,393120,8.914285714285715,312,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,394380,8.942857142857143,313,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,395640,8.971428571428572,314,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,396900,9.0,315,44100,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,409536,8.777777777777779,316,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,410832,8.805555555555555,317,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,412128,8.833333333333334,318,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,413424,8.86111111111111,319,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,414720,8.88888888888889,320,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,416016,8.916666666666666,321,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,417312,8.944444444444445,322,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,418608,8.972222222222221,323,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",18,419904,9.0,324,46656,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,432250,9.285714285714286,325,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,433580,9.314285714285715,326,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,434910,9.342857142857143,327,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,436240,9.371428571428572,328,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,437570,9.4,329,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,438900,9.428571428571429,330,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,440230,9.457142857142857,331,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,441560,9.485714285714286,332,46550,O(n^(5/2) log n),35,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,455544,9.25,333,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,456912,9.277777777777779,334,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,458280,9.305555555555555,335,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,459648,9.333333333333334,336,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,461016,9.36111111111111,337,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,462384,9.38888888888889,338,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,463752,9.416666666666666,339,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,465120,9.444444444444445,340,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,466488,9.472222222222221,341,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,467856,9.5,342,49248,O(n^(5/2) log n),36,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,482258,9.27027027027027,343,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,483664,9.297297297297296,344,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,485070,9.324324324324325,345,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,486476,9.35135135135135,346,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,487882,9.378378378378379,347,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,489288,9.405405405405405,348,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,490694,9.432432432432432,349,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,492100,9.45945945945946,350,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,493506,9.486486486486486,351,52022,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,508288,9.263157894736842,352,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,509732,9.289473684210526,353,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,511176,9.31578947368421,354,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,512620,9.342105263157896,355,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,514064,9.368421052631579,356,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,515508,9.394736842105264,357,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,516952,9.421052631578947,358,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,518396,9.447368421052632,359,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,519840,9.473684210526315,360,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",19,521284,9.5,361,54872,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,535760,9.783783783783784,362,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,537240,9.81081081081081,363,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,538720,9.837837837837839,364,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,540200,9.864864864864865,365,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,541680,9.891891891891891,366,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,543160,9.91891891891892,367,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,544640,9.945945945945946,368,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,546120,9.972972972972974,369,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,547600,10.0,370,54760,O(n^(5/2) log n),37,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,563920,9.763157894736842,371,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,565440,9.789473684210526,372,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,566960,9.81578947368421,373,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,568480,9.842105263157896,374,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,570000,9.868421052631579,375,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,571520,9.894736842105264,376,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,573040,9.921052631578947,377,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,574560,9.947368421052632,378,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,576080,9.973684210526315,379,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,577600,10.0,380,57760,O(n^(5/2) log n),38,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,594360,9.76923076923077,381,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,595920,9.794871794871796,382,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,597480,9.820512820512821,383,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,599040,9.846153846153847,384,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,600600,9.871794871794872,385,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,602160,9.897435897435898,386,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,603720,9.923076923076923,387,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,605280,9.948717948717949,388,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,606840,9.974358974358974,389,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,608400,10.0,390,60840,O(n^(5/2) log n),39,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,625600,9.775,391,64000,O(n^(5/2) log n),40,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,627200,9.8,392,64000,O(n^(5/2) log n),40,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,628800,9.825,393,64000,O(n^(5/2) log n),40,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",20,630400,9.85,394,64000,O(n^(5/2) log n),40,Theta(n^3 log n)
